pid,practiceOrder,blockOrder,leftCategoryC,leftCategoryI,rightCategoryC,rightCategoryI,leftAttC,leftAttI,rightAttC,rightAttI,trialECategory,trialICategory,switchStimulus,stimulus,stimulusCategory,startTimeSeed,block,blockType,trial,responseNum,rt,correct,response
12,attFirst,conFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,GOOD,BAD,attributes,BRUTAL,BAD,1500659037174,1,attPractice1,1,1,844,false,GOOD
12,attFirst,conFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,GOOD,BAD,attributes,BRUTAL,BAD,1500659037174,1,attPractice1,1,2,955,true,BAD
12,attFirst,conFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,GOOD,BAD,attributes,HELPFUL,GOOD,1500659037174,1,attPractice1,2,1,90,true,GOOD
12,attFirst,conFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,GOOD,BAD,attributes,TERRIBLE,BAD,1500659037174,1,attPractice1,3,1,99,true,BAD
12,attFirst,conFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,GOOD,BAD,attributes,SMILE,GOOD,1500659037174,1,attPractice1,4,1,75,true,GOOD
12,attFirst,conFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,GOOD,BAD,attributes,HATE,BAD,1500659037174,1,attPractice1,5,1,107,true,BAD
12,attFirst,conFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,GOOD,BAD,attributes,CHEERFUL,GOOD,1500659037174,1,attPractice1,6,1,75,true,GOOD
12,attFirst,conFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,GOOD,BAD,attributes,JOY,GOOD,1500659037174,1,attPractice1,7,1,106,false,BAD
12,attFirst,conFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,GOOD,BAD,attributes,JOY,GOOD,1500659037174,1,attPractice1,7,2,186,true,GOOD
12,attFirst,conFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,GOOD,BAD,attributes,UGLY,BAD,1500659037174,1,attPractice1,8,1,99,true,BAD
