pid,practiceOrder,blockOrder,leftCategoryC,leftCategoryI,rightCategoryC,rightCategoryI,leftAttC,leftAttI,rightAttC,rightAttI,trialECategory,trialICategory,switchStimulus,stimulus,stimulusCategory,startTimeSeed,block,blockType,trial,responseNum,rt,correct,response
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,ANGRY,BAD,1500659125952,1,attPractice1,1,1,573,true,BAD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,SUCCESS,GOOD,1500659125952,1,attPractice1,2,1,1,true,GOOD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,BRUTAL,BAD,1500659125952,1,attPractice1,3,1,119,false,GOOD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,BRUTAL,BAD,1500659125952,1,attPractice1,3,2,199,true,BAD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,CHEERFUL,GOOD,1500659125952,1,attPractice1,4,1,90,true,GOOD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,DISASTER,BAD,1500659125952,1,attPractice1,5,1,147,true,BAD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,TRAGIC,BAD,1500659125952,1,attPractice1,6,1,76,false,GOOD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,TRAGIC,BAD,1500659125952,1,attPractice1,6,2,212,true,BAD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,HORRIBLE,BAD,1500659125952,1,attPractice1,7,1,107,false,GOOD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,HORRIBLE,BAD,1500659125952,1,attPractice1,7,2,195,true,BAD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,SMILE,GOOD,1500659125952,1,attPractice1,8,1,108,true,GOOD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,UGLY,BAD,1500659125952,1,attPractice1,9,1,68,true,BAD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,EVIL,BAD,1500659125952,1,attPractice1,10,1,124,false,GOOD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,EVIL,BAD,1500659125952,1,attPractice1,10,2,196,true,BAD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,GLORIOUS,GOOD,1500659125952,1,attPractice1,11,1,111,true,GOOD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,ENJOY,GOOD,1500659125952,1,attPractice1,12,1,75,false,BAD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,ENJOY,GOOD,1500659125952,1,attPractice1,12,2,187,true,GOOD
